ID,Comment,Cleaned_Comment,Lemmatized_Comment,Label
1,Update: Now in video form,update video form,update video form,neutral
2,call me by your name’s cum peach walked so parasite’s killer peach could run,call names cum peach walked parasites killer peach could run,call name cum peach walked parasite killer peach could run,neutral
3,Another Bong hit.,another bong hit,another bong hit,neutral
4,Our expectations were high but HOLY FUCK,expectations high holy fuck,expectation high holy fuck,negative
5,a question to people who rate this 4.5: what more do you want literally what more do you want,question people rate 45 want literally want,question people rate 45 want literally want,neutral
6,"One detail I noticed this time around is that Min and Mr. Park both react the same way to being asked if they like or love the people that they're romantically involved with– by laughing. And in Mr. Park's case, giving a sarcastic answer that undercuts his saying 'yes'. Min and Mr. Park are both seen as powerful figures deserving of respect, and the way they dismissively respond to an earnest question about whether they truly care for the people they're supposed to tells us a lot about how powerful people think about not just the people below them, but everyone in their lives.",one detail noticed time around min mr park react way asked like love people theyre romantically involved laughing mr parks case giving sarcastic answer undercuts saying yes min mr park seen powerful figures deserving respect way dismissively respond earnest question whether truly care people theyre supposed tells us lot powerful people think people everyone lives,one detail noticed time around min mr park react way asked like love people theyre romantically involved laughing mr park case giving sarcastic answer undercut saying yes min mr park seen powerful figure deserving respect way dismissively respond earnest question whether truly care people theyre supposed tell u lot powerful people think people everyone life,positive
7,The tent won’t leak. It’s from America.,tent wont leak america,tent wont leak america,neutral
8,The bloody napkin scene....top 3 scenes of all time. Hands down.,bloody napkin scenetop 3 scenes time hands,bloody napkin scenetop 3 scene time hand,negative
9,morse code me by your name and i'll morse code you by mine,morse code name ill morse code mine,morse code name ill morse code mine,negative
10,maybe the real parasite... was the friends we made along the way,maybe real parasite friends made along way,maybe real parasite friend made along way,positive
11,"crazy rich asians walked, so that they could get stabbed in parasite",crazy rich asians walked could get stabbed parasite,crazy rich asian walked could get stabbed parasite,negative
12,A garden party.,garden party,garden party,neutral
13,"Jessica, only child ✌️ from Illinois Chicago, classmate of Kim Jin-mo, he’s your cousin✌️ 🎼",jessica child illinois chicago classmate kim jinmo hes cousin,jessica child illinois chicago classmate kim jinmo he cousin,neutral
14,"Watched with a live orchestra and an introduction by Bong. It was one of my favorite experiences at a theatre, obviously.",watched live orchestra introduction bong one favorite experiences theatre obviously,watched live orchestra introduction bong one favorite experience theatre obviously,positive
15,parasite is my minimalist architecture porn like yes unplastered grey stone walls mahogany floor and impractical enormous glass panels inject that in me,parasite minimalist architecture porn like yes unplastered grey stone walls mahogany floor impractical enormous glass panels inject,parasite minimalist architecture porn like yes unplastered grey stone wall mahogany floor impractical enormous glass panel inject,negative
16,"""No one can imitate North Korean news anchors like you"" gotta be the rarest compliment ever",one imitate north korean news anchors like got ta rarest compliment ever,one imitate north korean news anchor like got ta rarest compliment ever,neutral
17,"I'M SCREAMING I'M CRYING THIS IS THE BEST SHIT THAT HAS EVER HAPPENED THE FILM THAT TRULY MADE ME A CINEPHILE IS THE FIRST FOREIGN FILM TO EVER WIN BEST PICTURE WE WON bong can now finally go and drink his guts out, bless his heart",im screaming im crying best shit ever happened film truly made cinephile first foreign film ever win best picture bong finally go drink guts bless heart,im screaming im cry best shit ever happened film truly made cinephile first foreign film ever win best picture bong finally go drink gut bless heart,positive
18,"Something I’ve wondered since the first viewing: toward the end when Ki-Woo mentions “the doctor who looked nothing like a doctor” and “the lawyer who looked nothing like a lawyer,” is this meant to subtly hint that everyone in this universe is faking it, not just the Kims?",something ive wondered since first viewing toward end kiwoo mentions doctor looked nothing like doctor lawyer looked nothing like lawyer meant subtly hint everyone universe faking kims,something ive wondered since first viewing toward end kiwoo mention doctor looked nothing like doctor lawyer looked nothing like lawyer meant subtly hint everyone universe faking kims,negative
19,I hadn't seen a trailer and had no idea what the premise of it even was and BOY OH BOY did I have a wonderful couple of hours. Pure movie joy.,hadnt seen trailer idea premise even boy oh boy wonderful couple hours pure movie joy,hadnt seen trailer idea premise even boy oh boy wonderful couple hour pure movie joy,positive
20,kim ki-taek the original self isolator,kim kitaek original self isolator,kim kitaek original self isolator,positive
21,"Woh, that kid is going to need a much bigger trauma recovery cake.",woh kid going need much bigger trauma recovery cake,woh kid going need much bigger trauma recovery cake,neutral
22,I've come to make an announcement:,ive come make announcement,ive come make announcement,neutral
23,not to sound dramatic but that flood scene changed me,sound dramatic flood scene changed,sound dramatic flood scene changed,negative
24,"Unintentionally decided now, in the middle of my Ansel binge, was a good time to rewatch this. Not realizing I also decided to rewatch Parasite in the middle of my Noah Centineo marathon. Just putting that out there as a way of thanking Bong for getting me through these tough times.",unintentionally decided middle ansel binge good time rewatch realizing also decided rewatch parasite middle noah centineo marathon putting way thanking bong getting tough times,unintentionally decided middle ansel binge good time rewatch realizing also decided rewatch parasite middle noah centineo marathon putting way thanking bong getting tough time,positive
25,Holy fucking shit. I can’t tell if this movie is a masterpiece or if Bong Joon-ho himself is the masterpiece.,holy fucking shit cant tell movie masterpiece bong joonho masterpiece,holy fucking shit cant tell movie masterpiece bong joonho masterpiece,negative
