Comment_ID,Lemmatized_Review
1,update video form
2,call name cum peach walked parasite killer peach could run
3,another bong hit
4,expectation high holy fuck
5,question people rate 45 want literally want
6,one detail noticed time around min mr park react way asked like love people theyre romantically involved laughing mr park case giving sarcastic answer undercut saying yes min mr park seen powerful figure deserving respect way dismissively respond earnest question whether truly care people theyre supposed tell u lot powerful people think people everyone life
7,tent wont leak america
8,bloody napkin scenetop 3 scene time hand
9,morse code name ill morse code mine
10,maybe real parasite friend made along way
11,crazy rich asian walked could get stabbed parasite
12,garden party
13,jessica child illinois chicago classmate kim jinmo he cousin
14,watched live orchestra introduction bong one favorite experience theatre obviously
15,parasite minimalist architecture porn like yes unplastered grey stone wall mahogany floor impractical enormous glass panel inject
16,one imitate north korean news anchor like got ta rarest compliment ever
17,im screaming im cry best shit ever happened film truly made cinephile first foreign film ever win best picture bong finally go drink gut bless heart
18,something ive wondered since first viewing toward end kiwoo mention doctor looked nothing like doctor lawyer looked nothing like lawyer meant subtly hint everyone universe faking kims
19,hadnt seen trailer idea premise even boy oh boy wonderful couple hour pure movie joy
20,kim kitaek original self isolator
21,woh kid going need much bigger trauma recovery cake
22,ive come make announcement
23,sound dramatic flood scene changed
24,unintentionally decided middle ansel binge good time rewatch realizing also decided rewatch parasite middle noah centineo marathon putting way thanking bong getting tough time
25,holy fucking shit cant tell movie masterpiece bong joonho masterpiece
26,bong joonho sui generis south korean auteur behind unclassifiable modern wonder like barking dog never bite host always made film refuse fit narrow parameter particular genre built atop bedrock comic violence bong us support weight heavy story place top simply categorizing snowpiercer sciencefiction memory murder mystery would require ignore rare magic hold together deny controlled instability allows keep changing shape eye
27,despite mr park might think movie smell fucking good
28,theyre rich still nice
29,saw someone twitter annoying thing sneer idea movie people love really could good say asking opinion hoping find one person say something like fine latch onto one take definitive proof there sort conspiracy declare film great actually fine stupid trend seems like thinlyveiled way get ahead curve preemptively shit popular movie cast movie fan rabid sheep cant think order present someone hot take make seem smarter idiot enjoyed movie alllllllways come across corny embarrassingly contrarian
30,leaving arclight heard girl say holy shit cant wait read letterboxd review think shes right
31,doesnt win palme dor im burning palais ground
32,im biggest fan reading long essay letterboxd definitely one youd like read medium photo header check linkmediumcomqdg86fmem1
33,yup best movie ever fucking made
34,ready film shit parasite tour de force hype true really masterpiece right
35,jessica child
36,masterfully constructed thoroughly compelling genre piece effortlessly transitioning familial drama heist movie satirical farce subterranean horror perverse mutating symbiotic relationship increasingly unequal transactional class relationship cant afford oblivious severe violent materialpsychic toll capitalist accumulation say ghost house brings wealth think ultimately admired felt clever manufactured way feel shiny surfacelevel personal think work movie part shiny surface distract u horrifying condition exist order sustain seam system ripping feel like bong channeled economic precarities indignity anxiety rube goldberg microcosm asks anyone could surprised violent destination
37,circle small yall crazy
38,club requesting jessica child illinois chicago classmate kim jinmo he cousin ding dong
39,fuck think would give
40,wouldve even better could read
41,hand shake type word people didnt lie said one year best movie 2019 parasite freakin ended know feeling movie good end feel though large part self also departed body eventually left behind void inside thats exactly felt watching parasite picking teeth week maybe month even year come think know whats coming bong joonho store maybe think probably favorite ghost story best watch whole familybonghive
42,frustrating watch movie bong joonho come close sometimes never quite nail come class consciousness
43,dont trust anyone
44,best decade
45,perhaps nuanced merciless look economic inequity wealth corruption ever presented film without question parasite uncompromising masterpiece deserves every ounce praise receives
46,parasite exhibit total technical conceptual mastery bong favorite theme simultaneously taking oeuvre new place seamlessly weave together melodrama satire comedy horror element ultimately centering deeply lovable flawed character anyone living capitalist democracy find lot chew
47,everyone giving 5 theyve never seen movie depicts class conflict right
48,feel comfortable feel like born
49,yes still thinking parasite pizza delivery girl
50,must live knowing cannes could attended 2nd ever screening best picture winner parasite simply overslept
51,yeah respect capitalism right capitalism right shut fuck
52,watching always make feel less guilty used steal starbucks gift card child
53,may look like sheep inside shes fox
54,masterfully made
55,best picture showcase film 7
56,edit removed rating posted 2 12 star
57,always ate enough two
58,thought shoplifter needed excitement crank high voltage boy film
59,yelling kims watch third time knowing full well whats gon na happen timothee chalamet british accent bang fist wall stop fucking charade stop
60,capitalism insidious ever used simple dynamic merchant manufacturer landowner exploited labourer create profit inequality obvious era service sector dominance liberalism elitism class prefaced theoretical line blurred exploited silence obviously still worker capitalism convinced half world rich suffer parasite rorschach test see base analogy go real parasite please dont person capitalism inherently parasitic rich poor equally exploit rich exploit poor poor also exploit poor central thesis parasite come two working class family fighting rich allowing indifference longer rich evil mill owner watching poor people die street nice people like dont like hear bad thing nothing million suffer poverty end result marketed better cant understand kitaek stab mr park youre proof century capitalism convinced u fight change parasite perfect analogy friendly face exploitation accept reasonable please leave u die want dream house nice wont fight mr park fact respect everything let u give film award wont feel bad ignoring message
61,hell money id nice
62,know kind plan never fails plan plan know life planned kitaek
63,metaphorical
64,mustsee film great acting fun witty character intrigued entire run time
65,labyrinth therefore ghost manifested excessive design wealth impoverished lose bearing within become spatially disoriented bottomlessness structure framework become physically adrift point brotherly pitilessness selfconsuming strongarm tactic earnest derision delivered device game innocent player judgment predicament nobody left without burden guilt foul play system designed oppose man man sake cushy pecuniary illusion safety
66,arclight hollywood perfect
67,finally got one inch tall barrier subtitle thats cinematic masterpiece luv
68,let get one thing straight parasite phenomenal stunning subtle immensely powerful piece class warfare nature human condition also tense funny extremely entertaining film didnt feel length go without knowing anything made viewing experience exciting
69,spare observation another theater viewing
70,say ghost house bring wealth
71,instituting gentleman 4 rate film 4 star due objective undeniable artistic technical merit even though personal enjoyment hovers 325 350 star noted symbol g4 beginning review sog4
72,damn kid really worst birthday huh
73,dont like parasite keep shit embarrassing
74,kim hey whatcha got
75,lot roulette pick frank
76,would say entertain mother
77,body ready soul ready mind ready
78,celebratory bong hit worldwide
79,bro cant read wtf saying bro
80,parasite amazing first watch second watch infinitely better movie showed park house first time second viewing really strange feeling washed feeling doesnt matter either family accomplishes going tragic ending although movie blend genre entertaining way still bleak bitter view world winding plot seemingly end morality every single character ambiguous everyone flawed redeeming enough root truly masterful storytelling nothing overused held back audience surprise masterpiece like much universal appeal transcends setting time period
81,well unexpected
82,action sudden shift bong joonho
83,body odor class warfare high class house film stage social tension acted series seenunseen gesture privilege matter allowed either smell key cant play acted social theatre daily horror becoming ghost often bong effective everything build film machinery cinema apparatus another instance system
84,many thanks online dictionary helped write part review
85,rose red
86,thought gon na like anus worm type parasite good anyway
87,expect bad hollywoood remake totally miss point original
88,holy shit left jaw dropped solid 30 minute
89,make plan life never work way plan nothing go wrong
90,never escape smell maybe think make lot money buy big house people wont notice money wash away thats hope cling
91,going call best movie ive seen year honestly might best movie ive ever seen whole life
92,supposed fall asleep witnessing possibly one best movie ever crafted
93,rewatched timeless best decadeender film 2010s along friend mine began venturing asian cinema first time today parasite korean dramedy thriller film tackling class division juxtaposing life affluent park family penurious kim family director bong joonho criticizing growing social class divide south korea previous film despite recently released film parasite probably critical cutthroat film perfectly capture attention audience combining comedy thriller simultaneously showing harsh reality south korean working class storytelling directorship pacing cinematography blended way every scene becomes either emotionally appalling stirring finest message symbolism never relevant today considering rich afford rent private island escape pandemic poor getting eviction unemployment notice parasite proved even relatively lowbudget film executed perfectly win prestigious award opened door asian international cinema general westerner like friend appreciate cinema beyond english language overcome oneinch tall barrier subtitle think bong joonho produced better film one parasite remain magnus opus talked analyzed decade come
94,never ever wrong thought film going mind still absolutely blown im writing two day viewing bong joonho completely lure audience making u feel connected character even dont anything common way last frame
95,movie always best thing ever happened cinephile
96,genuinely thought supposed horror movie put waiting kinda monster show
97,parasite film decade best contention perfectly defines world exists right capitalism made u parasite worker solidarity crushed beyond hope beneath veneer consumerism individualism worker want capitalist work within system dismantle rich people parasite may anything explicitly bad society arbitrarily chooses allow wealth let avoid consequence trouble side rich people afford nice doesnt mean
98,bong joonho always manages create film somehow define genre exist realm parasite exception
99,yup there better way spending 21st birthday favourite film time 3
100,say eat rich rich mom parasite excluded narrative
101,last night watched group beautiful asian people get stage dolby theatre los angeles accept prestigious award american entertainment industry bestow piece art
102,unbelievable long long time since ive felt wholly gripped film beginning end jesus christ good
103,tent wont leak american
104,laughed cried number time sweat danced got smile shot ate many epiphany
105,letterboxd season challenge 1920
106,okay im daring literally film good
107,holy fucking shit
108,america need say fuck genre get board korean style tonal shift entire runtime absolutely searing
109,much dissect much cant say without spoiler dont watch trailer dont read description watch movie perfect storm somehow strike balance mainstreamaccessible profoundlayered love much
110,watched korean without english subtitle
111,actually never get fucking good
112,took rewatching realize iconic least much already become part cinematic landscape symphony meaning much funnier even people think funny give credit
113,call name wish iconic peach scene
114,cant believe ever liked movie thinking
115,chimpanzee right
116,joon ho genius mixture genre come ancient line specific auteur relevant name came mind youssef chahine particular cairo station 1958 treatment genre followed similar pacing structure culminating one spectacular effect cognitive dissonance ever displayed celluloid genre shifting activated plot point essay constitutes social satire dark comedy eye marginalization social class social status discrimination one toxic idea predominated highest sphere power superficial ideology balance restored violence
117,kinda crazy one hyped film last couple year critic audience still managed blow expectation water brilliant
118,gon na every time
119,watched black white cut beautiful even haunting let tell metaphorical really strong im deadly serious
120,criterion collection spine 1054
121,right graduating v snooty college homeless two month promising job interview nothing lined yet one friend gon na let move got current roommate situation sorted wouldnt september full couch surfing panic mode
122,turn light watch roach scamper away sink sewer scrambling car key cursing yelling toppling chair table decoration cello frenzy calling movie wild ride would understatement free falling madness know bong youd know nothing develops way expect im trying best spoil anything leave one takeaway review bong signature dropkick missing drunkard right two time drop kick dont know trust anymore
123,bong joonho
124,got oscar nomination acting category beyond
125,masterpiece win oscar award best picture
126,rewatching multilayered recordbreaking monster film theater postoscar win group occasional movie goer mom included mightve seen otherwise treat noticed subtlety didnt catch first time able breathe little knowing headed left theater first watch extremely satisfied gem seen powerless realization fourth wallbreaking last shot meant story character u viewer well parasitic as need drink
127,hate brilliant movie bye
128,masterpiece every sense word
129,one word describe parasite would miraculous go beyond boundary genre language culture deliver story anybody around world could relate even though rooted deeply south korean society ive watched two movie bong joonho enough label master craft way shift humor horror optimism despair effortlessly seamless hard pull story tone shift fluidly without conflicting audience parasite flawlessly
130,parasite total utter knockout masterwork bong joonho darkly comedic emotionally wrought socially relevant absolutely twisted go blind humanly possible bong better win award earthly idea even able compete constantly evolving biting satire gripping tension drama culminates stirring climax shouting rooftop much love cinema flawless work art
